Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
936384,JM Financial Credit Solutions Limited,1025JFCS28,JM Financial Credit Solutions Ltd,Active,F ,1000.00,INE651J07689,Debentures and Bonds,,,,,
936386,JM Financial Credit Solutions Limited,981JMFCS28,JM Financial Credit Solutions Ltd,Active,F ,1000.00,INE651J07697,Debentures and Bonds,,,,,
936398,ECL Finance Limited,1015ECL29,ECL Finance Ltd,Active,F ,1000.00,INE804IA7014,Debentures and Bonds,,,,,
936400,ECL Finance Limited,1060ECL29,ECL Finance Ltd,Active,F ,1000.00,INE804IA7022,Debentures and Bonds,,,,,
936410,Mahindra & Mahindra Financial Services Limited,92MMFSL27,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D07SV1,Debentures and Bonds,,,,,
936412,Mahindra & Mahindra Financial Services Limited,93MMFSL27,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D07SW9,Debentures and Bonds,,,,,
936414,Mahindra & Mahindra Financial Services Limited,935MMFSL29,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08MO7,Debentures and Bonds,,,,,
936416,Mahindra & Mahindra Financial Services Limited,95MMFSL29,Mahindra & Mahindra Financial Services Ltd,Active,F ,1000.00,INE774D08MP4,Debentures and Bonds,,,,,
936454,Shriram Finance Limited,957ICCL25,Shriram Finance Ltd,Active,F ,1000.00,INE721A07ON4,Debentures and Bonds,,,,,
936460,Shriram Finance Limited,97SFL29,Shriram Finance Ltd,Active,F ,1000.00,INE721A07OQ7,Debentures and Bonds,,,,,
936476,IIFL FINANCE LIMITED ,10IIFL29,IIFL Finance Ltd,Active,F ,1000.00,INE866I08279,Debentures and Bonds,,,,,
936478,IIFL FINANCE LIMITED ,105IIFL29,IIFL Finance Ltd,Active,F ,1000.00,INE866I08295,Debentures and Bonds,,,,,
936492,Manappuram Finance Limited,MFLZC26,Manappuram Finance Ltd,Active,F ,1000.00,INE522D07BA4,Debentures and Bonds,,,,,
936526,L&T Finance Limited,92LTF29,L&T Finance Ltd,Active,F ,1000.00,INE027E07964,Debentures and Bonds,,,,,
936528,L&T Finance Limited,935LTF29,L&T Finance Ltd,Active,F ,1000.00,INE027E07972,Debentures and Bonds,,,,,
936530,L&T Finance Limited,884LTF29,L&T Finance Ltd,Active,F ,1000.00,INE027E07980,Debentures and Bonds,,,,,
936532,L&T Finance Limited,898LTF29,L&T Finance Ltd,Active,F ,1000.00,INE027E07998,Debentures and Bonds,,,,,
936572,L&T Finance Limited,885LTF27,L&T Finance Ltd,Active,F ,1000.00,INE027E07AK3,Debentures and Bonds,,,,,
936574,L&T Finance Limited,905LTF27,L&T Finance Ltd,Active,F ,1000.00,INE027E07AL1,Debentures and Bonds,,,,,
936576,L&T Finance Limited,852LTF27,L&T Finance Ltd,Active,F ,1000.00,INE027E07AM9,Debentures and Bonds,,,,,
936578,L&T Finance Limited,87LTF27,L&T Finance Ltd,Active,F ,1000.00,INE027E07AN7,Debentures and Bonds,,,,,
936620,Kosamattam Finance Limited,1025KFL26,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q08159,Debentures and Bonds,,,,,
936622,Kosamattam Finance Limited,KFLZC26A,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q08167,Debentures and Bonds,,,,,
936634,POONAWALLA FINCORP LIMITED,829PFL29,Poonawalla Fincorp Ltd,Active,F ,1000.00,INE511C07706,Debentures and Bonds,,,,,
936636,POONAWALLA FINCORP LIMITED,85PFL26A,Poonawalla Fincorp Ltd,Active,F ,1000.00,INE511C07714,Debentures and Bonds,,,,,
936656,Muthoot Homefin (India) Limited,MHLZC26,Muthoot Homefin (India) Ltd,Active,F ,1000.00,INE652X07100,Debentures and Bonds,,,,,
936722,ECL Finance Limited,995ECL29A,ECL Finance Ltd,Active,F ,1000.00,INE804IA7139,Debentures and Bonds,,,,,
936724,ECL Finance Limited,104ECL29A,ECL Finance Ltd,Active,F ,1000.00,INE804IA7147,Debentures and Bonds,,,,,
936744,MUTHOOT FINANCE LIMITED,MFLZC26A,Muthoot Finance Ltd,Active,F ,1000.00,INE414G07DQ9,Debentures and Bonds,,,,,
936776,Kosamattam Finance Limited,1025KFL26A,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q08175,Debentures and Bonds,,,,,
936778,Kosamattam Finance Limited,KFLZC26B,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q08183,Debentures and Bonds,,,,,
936784,Shriram Finance Limited,931SFL26,Shriram Finance Ltd,Active,F ,1000.00,INE721A07PA8,Debentures and Bonds,,,,,
936792,Shriram Finance Limited,97SFL26,Shriram Finance Ltd,Active,F ,1000.00,INE721A07PE0,Debentures and Bonds,,,,,
936798,Shriram Finance Limited,SFLZC26A,Shriram Finance Ltd,Active,F ,1000.00,INE721A07PH3,Debentures and Bonds,,,,,
936808,Tata Capital Limited,855TCAPS27,Tata Capital Ltd,Active,F ,1000.00,INE306N07LL7,Debentures and Bonds,,,,,
936810,Tata Capital Limited,865TCAPS27,Tata Capital Ltd,Active,F ,1000.00,INE306N07LM5,Debentures and Bonds,,,,,
936812,Tata Capital Limited,875TCAPS29,Tata Capital Ltd,Active,F ,1000.00,INE306N08334,Debentures and Bonds,,,,,
936814,Tata Capital Limited,885TCAPS29,Tata Capital Ltd,Active,F ,1000.00,INE306N08342,Debentures and Bonds,,,,,
936854,JM FINANCIAL PRODUCTS LIMITED,JMFPZC26,JM Financial Products Ltd,Active,F ,1000.00,INE523H07AQ1,Debentures and Bonds,,,,,
936944,MUTHOOT FINANCE LIMITED,MFLZC27D,Muthoot Finance Ltd,Active,F ,1000.00,INE414G07EC7,Debentures and Bonds,,,,,
936959,Manappuram Home Finance Limited,MHFLZC26,Manappuram Home Finance Ltd,Active,F ,1000.00,INE360T07082,Debentures and Bonds,,,,,
936975,ECL Finance Limited,995ECL29,ECL Finance Ltd,Active,F ,1000.00,INE804IA7246,Debentures and Bonds,,,,,
936977,ECL Finance Limited,104ECL29,ECL Finance Ltd,Active,F ,1000.00,INE804IA7253,Debentures and Bonds,,,,,
936991,Kosamattam Finance Limited,1025KFL26B,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07AW5,Debentures and Bonds,,,,,
936993,Kosamattam Finance Limited,1041KFL26,Kosamattam Finance Ltd,Active,F ,1000.00,INE403Q07AX3,Debentures and Bonds,,,,,
937015,L&T Finance Limited,85LTF26,L&T Finance Ltd,Active,F ,1000.00,INE027E07BB0,Debentures and Bonds,,,,,
937017,L&T Finance Limited,865LTF26,L&T Finance Ltd,Active,F ,1000.00,INE027E07BC8,Debentures and Bonds,,,,,
937037,MUTHOOT FINANCE LIMITED,MFLZC27B,Muthoot Finance Ltd,Active,F ,1000.00,INE414G07EG8,Debentures and Bonds,,,,,
937051,Tata Capital Housing Finance Limited,801TCH28,Tata Capital Housing Finance Ltd,Active,F ,1000.00,INE033L07GR8,Debentures and Bonds,,,,,
937053,Tata Capital Housing Finance Limited,81TCHF28,Tata Capital Housing Finance Ltd,Active,F ,1000.00,INE033L07GS6,Debentures and Bonds,,,,,
